Maintenance_ID,Equipment_ID,Base_ID,Maintenance_Date,Maintenance_Type,Downtime_Days,Maintenance_Cost_INR,Technician_Team,Failure,Cost_Per_Day
M014030,EQ02865,B030,2026-06-08,Preventive,7,135542.88,Team Delta,No,19363.268571428573
M014031,EQ03491,B020,2026-11-08,Inspection,5,193704.95,Team Charlie,No,38740.990000000005
M014032,EQ01350,B013,2025-07-20,Inspection,1,39016.82,Team Echo,No,39016.82
M014033,EQ03297,B016,2026-10-07,Preventive,12,275995.12,Team Delta,Yes,22999.593333333334
M014034,EQ04092,B021,2026-10-04,Corrective,6,156886.58,Team Bravo,No,26147.763333333332
M014035,EQ04251,B019,2026-05-19,Inspection,2,91423.04,Team Delta,No,45711.52
M014036,EQ04260,B023,2025-09-29,Emergency,6,294058.71,Team Alpha,No,49009.785
M014037,EQ01475,B027,2026-06-04,Preventive,8,141819.33,Team Bravo,Yes,17727.41625
M014038,EQ02873,B017,2025-05-30,Preventive,8,358464.72,Team Bravo,Yes,44808.09
M014039,EQ02477,B012,2025-07-15,Emergency,14,685767.51,Team Echo,Yes,48983.39357142857
M014040,EQ01420,B023,2025-07-13,Inspection,6,101702.4,Team Delta,No,16950.399999999998
M014041,EQ04665,B013,2025-12-14,Preventive,1,43748.38,Team Charlie,No,43748.38
M014042,EQ02449,B019,2026-06-13,Emergency,10,461213.57,Team Bravo,Yes,46121.357
M014043,EQ01831,B015,2026-05-31,Inspection,0,0.0,Team Bravo,No,0.0
M014044,EQ04403,B021,2026-06-24,Corrective,8,381762.43,Team Alpha,Yes,47720.30375
M014045,EQ03279,B013,2025-10-16,Preventive,9,195215.88,Team Bravo,Yes,21690.653333333335
M014046,EQ03561,B026,2026-05-11,Emergency,2,93366.1,Team Echo,No,46683.05
M014047,EQ04359,B011,2026-08-30,Preventive,4,88871.16,Team Charlie,No,22217.79
M014048,EQ01162,B013,2026-08-06,Corrective,2,65208.04,Team Bravo,No,32604.02
M014049,EQ04311,B029,2025-04-21,Inspection,4,64772.65,Team Alpha,No,16193.1625
M014050,EQ02300,B001,2026-10-24,Preventive,15,697674.23,Team Echo,Yes,46511.615333333335
M014051,EQ03688,B018,2026-04-08,Emergency,8,128535.53,Team Delta,Yes,16066.94125
M014052,EQ03390,B011,2026-12-25,Preventive,11,364708.68,Team Alpha,Yes,33155.33454545454
M014053,EQ04731,B012,2025-07-20,Preventive,13,394953.82,Team Echo,Yes,30381.063076923077
M014054,EQ03500,B002,2025-02-12,Emergency,0,0.0,Team Echo,No,0.0
M014055,EQ03812,B006,2025-08-18,Corrective,2,72013.83,Team Echo,No,36006.915
M014056,EQ01869,B022,2026-01-07,Corrective,3,123484.07,Team Delta,No,41161.35666666667
M014057,EQ04859,B011,2026-07-25,Preventive,4,165129.09,Team Delta,No,41282.2725
M014058,EQ04941,B022,2026-03-17,Emergency,13,224055.64,Team Alpha,Yes,17235.049230769233
M014059,EQ04884,B028,2025-11-27,Preventive,8,162637.88,Team Bravo,Yes,20329.735
M014060,EQ02381,B025,2025-04-14,Preventive,8,270492.13,Team Delta,Yes,33811.51625
M014061,EQ02349,B010,2026-11-10,Inspection,3,135897.98,Team Charlie,No,45299.32666666667
M014062,EQ01760,B021,2026-05-23,Corrective,9,361926.69,Team Echo,Yes,40214.07666666667
M014063,EQ02222,B015,2026-05-28,Corrective,2,45299.13,Team Alpha,No,22649.565
M014064,EQ00212,B019,2026-04-30,Corrective,13,319793.79,Team Bravo,Yes,24599.522307692307
M014065,EQ03072,B015,2025-06-23,Emergency,9,186747.58,Team Alpha,Yes,20749.73111111111
M014066,EQ00640,B003,2025-06-19,Corrective,2,69641.5,Team Alpha,No,34820.75
M014067,EQ04980,B023,2025-10-23,Preventive,2,69129.92,Team Echo,No,34564.96
M014068,EQ04413,B006,2025-04-14,Preventive,2,74947.34,Team Echo,No,37473.67
M014069,EQ02413,B028,2025-05-25,Inspection,2,68067.94,Team Alpha,No,34033.97
M014070,EQ00050,B006,2026-08-15,Preventive,3,132131.3,Team Alpha,No,44043.76666666666
M014071,EQ02509,B001,2026-11-28,Inspection,8,364627.76,Team Delta,Yes,45578.47
M014072,EQ01725,B019,2026-06-27,Emergency,4,117168.24,Team Bravo,No,29292.06
M014073,EQ03758,B015,2025-10-14,Inspection,0,0.0,Team Charlie,No,0.0
M014074,EQ01383,B010,2025-03-04,Preventive,15,369314.3,Team Alpha,Yes,24620.95333333333
M014075,EQ01178,B010,2025-09-22,Inspection,9,348179.68,Team Echo,Yes,38686.63111111111
M014076,EQ01972,B003,2026-05-15,Inspection,3,133037.06,Team Alpha,No,44345.68666666667
M014077,EQ01613,B007,2026-10-22,Corrective,3,80048.57,Team Echo,No,26682.85666666667
M014078,EQ03082,B003,2026-01-28,Corrective,4,179328.41,Team Echo,No,44832.1025
M014079,EQ04840,B028,2026-09-30,Inspection,3,49044.24,Team Bravo,No,16348.08
M014080,EQ01328,B005,2025-04-04,Inspection,4,83255.81,Team Charlie,No,20813.9525
M014081,EQ01892,B014,2025-09-04,Emergency,20,968936.62,Team Echo,Yes,48446.831
M014082,EQ04367,B023,2025-09-15,Inspection,8,332877.46,Team Delta,Yes,41609.6825
M014083,EQ00744,B028,2025-03-27,Preventive,4,60249.09,Team Delta,No,15062.2725
M014084,EQ02939,B010,2026-01-24,Corrective,0,0.0,Team Bravo,No,0.0
M014085,EQ03740,B007,2026-10-20,Corrective,2,58841.56,Team Bravo,No,29420.78
M014086,EQ03467,B022,2026-03-07,Corrective,7,205852.68,Team Alpha,No,29407.52571428571
M014087,EQ02945,B017,2025-08-11,Inspection,2,76173.74,Team Charlie,No,38086.87
M014088,EQ00630,B017,2026-11-18,Emergency,4,99202.56,Team Delta,No,24800.64
M014089,EQ01926,B022,2026-12-22,Corrective,5,165251.16,Team Delta,No,33050.232
M014090,EQ00605,B025,2025-03-13,Preventive,1,20470.44,Team Alpha,No,20470.44
M014091,EQ04312,B012,2026-07-12,Corrective,7,228952.44,Team Echo,No,32707.49142857143
M014092,EQ01182,B003,2025-01-22,Preventive,3,81416.91,Team Alpha,No,27138.97
M014093,EQ03392,B024,2025-11-30,Inspection,4,149931.99,Team Bravo,No,37482.9975
M014094,EQ02773,B030,2025-01-17,Preventive,10,377062.25,Team Bravo,Yes,37706.225
M014095,EQ02155,B006,2026-10-13,Preventive,8,146041.6,Team Echo,Yes,18255.2
M014096,EQ02682,B001,2026-08-03,Corrective,2,66878.1,Team Alpha,No,33439.05
M014097,EQ04967,B008,2026-09-19,Corrective,9,276716.31,Team Echo,Yes,30746.256666666668
M014098,EQ03777,B023,2026-09-03,Preventive,3,46703.86,Team Bravo,No,15567.953333333333
M014099,EQ01544,B004,2025-02-09,Preventive,2,40703.1,Team Alpha,No,20351.55
M014100,EQ02692,B025,2026-11-02,Preventive,6,202951.36,Team Echo,No,33825.22666666666
M014101,EQ01553,B001,2025-10-30,Preventive,2,38278.92,Team Alpha,No,19139.46
M014102,EQ04942,B023,2026-02-09,Corrective,3,119488.54,Team Echo,No,39829.51333333333
M014103,EQ03978,B016,2026-01-16,Emergency,12,257852.84,Team Alpha,Yes,21487.736666666668
M014104,EQ01855,B022,2026-01-21,Emergency,0,0.0,Team Charlie,No,0.0
M014105,EQ00205,B004,2026-04-22,Preventive,18,893459.74,Team Bravo,Yes,49636.65222222222
M014106,EQ03780,B030,2025-05-21,Preventive,3,126395.49,Team Alpha,No,42131.83
M014107,EQ00240,B016,2025-08-08,Inspection,9,272934.75,Team Bravo,Yes,30326.083333333332
M014108,EQ01536,B030,2025-05-30,Preventive,4,192689.03,Team Charlie,No,48172.2575
M014109,EQ00790,B013,2025-09-20,Corrective,1,44599.81,Team Delta,No,44599.81
M014110,EQ03574,B018,2026-07-31,Corrective,0,0.0,Team Delta,No,0.0
M014111,EQ04109,B001,2026-12-28,Preventive,8,258092.5,Team Echo,Yes,32261.5625
M014112,EQ00421,B002,2026-11-01,Inspection,13,524956.34,Team Charlie,Yes,40381.25692307692
M014113,EQ04792,B023,2026-01-11,Corrective,3,71341.9,Team Charlie,No,23780.63333333333
M014114,EQ00391,B023,2025-08-25,Corrective,4,80982.51,Team Charlie,No,20245.6275
M014115,EQ02686,B009,2025-10-14,Preventive,4,149972.21,Team Delta,No,37493.0525
M014116,EQ01412,B013,2025-03-13,Corrective,0,0.0,Team Delta,No,0.0
M014117,EQ03194,B023,2026-12-11,Inspection,4,68076.59,Team Delta,No,17019.1475
M014118,EQ04422,B009,2025-08-31,Corrective,4,187319.25,Team Alpha,No,46829.8125
M014119,EQ01557,B012,2025-04-19,Emergency,11,181673.11,Team Charlie,Yes,16515.73727272727
M014120,EQ03995,B021,2025-03-06,Inspection,20,350544.69,Team Echo,Yes,17527.2345
M014121,EQ03634,B005,2025-06-23,Inspection,3,118333.2,Team Delta,No,39444.4
M014122,EQ01246,B020,2025-05-24,Preventive,12,248943.73,Team Echo,Yes,20745.310833333333
M014123,EQ03258,B006,2026-03-12,Corrective,8,124227.16,Team Echo,Yes,15528.395
M014124,EQ04055,B016,2026-04-14,Preventive,2,92911.5,Team Charlie,No,46455.75
M014125,EQ03871,B018,2025-11-03,Corrective,4,159325.22,Team Alpha,No,39831.305
M014126,EQ01411,B004,2026-12-27,Emergency,8,227958.06,Team Charlie,Yes,28494.7575
M014127,EQ02171,B004,2026-12-25,Corrective,8,159156.7,Team Echo,Yes,19894.5875
M014128,EQ03183,B014,2025-08-22,Inspection,7,238906.94,Team Alpha,No,34129.56285714286
M014129,EQ01799,B003,2025-08-05,Preventive,3,114727.93,Team Bravo,No,38242.64333333333
M014130,EQ00636,B027,2025-10-04,Preventive,20,810522.39,Team Echo,Yes,40526.1195
M014131,EQ02490,B012,2026-11-10,Inspection,3,78610.45,Team Alpha,No,26203.483333333334
M014132,EQ02869,B029,2025-05-07,Corrective,14,251084.59,Team Echo,Yes,17934.61357142857
M014133,EQ03734,B015,2025-08-17,Corrective,10,289583.93,Team Bravo,Yes,28958.393
M014134,EQ00706,B008,2026-03-11,Emergency,0,0.0,Team Bravo,No,0.0
M014135,EQ01962,B004,2026-08-19,Inspection,2,66740.68,Team Delta,No,33370.34
M014136,EQ02855,B027,2025-02-04,Corrective,11,233254.16,Team Bravo,Yes,21204.923636363637
M014137,EQ00110,B019,2025-06-07,Preventive,2,71814.36,Team Alpha,No,35907.18
M014138,EQ01383,B014,2026-11-01,Corrective,18,561198.6,Team Charlie,Yes,31177.699999999997
M014139,EQ03994,B001,2026-07-22,Corrective,4,125659.74,Team Alpha,No,31414.935
M014140,EQ01704,B017,2026-07-04,Inspection,2,80170.82,Team Echo,No,40085.41
M014141,EQ00718,B010,2026-09-17,Preventive,2,96498.81,Team Alpha,No,48249.405
M014142,EQ04947,B025,2026-06-05,Corrective,2,33967.22,Team Charlie,No,16983.61
M014143,EQ04279,B020,2025-01-20,Inspection,1,23548.53,Team Delta,No,23548.53
M014144,EQ01316,B025,2025-10-24,Emergency,3,80218.18,Team Bravo,No,26739.39333333333
M014145,EQ03421,B030,2025-05-27,Inspection,0,0.0,Team Charlie,No,0.0
M014146,EQ03025,B005,2025-08-16,Emergency,4,158679.3,Team Echo,No,39669.825
M014147,EQ04054,B006,2026-01-29,Preventive,5,148419.22,Team Charlie,No,29683.844
M014148,EQ03603,B008,2025-08-21,Preventive,12,261604.2,Team Echo,Yes,21800.350000000002
M014149,EQ00862,B004,2026-06-28,Inspection,2,98651.41,Team Alpha,No,49325.705
M014150,EQ00740,B024,2025-09-06,Corrective,2,66107.78,Team Bravo,No,33053.89
M014151,EQ03763,B003,2026-08-23,Preventive,3,65500.14,Team Alpha,No,21833.38
M014152,EQ04135,B010,2025-11-12,Preventive,2,45199.83,Team Echo,No,22599.915
M014153,EQ02309,B001,2025-04-25,Inspection,0,0.0,Team Echo,No,0.0
M014154,EQ01996,B015,2025-10-15,Preventive,11,214076.61,Team Delta,Yes,19461.51
M014155,EQ04852,B027,2025-03-26,Emergency,1,16303.02,Team Charlie,No,16303.02
M014156,EQ03087,B022,2026-07-26,Preventive,2,88529.45,Team Echo,No,44264.725
M014157,EQ03532,B029,2026-07-23,Preventive,13,521544.08,Team Bravo,Yes,40118.77538461539
M014158,EQ01872,B023,2025-06-30,Inspection,2,37394.5,Team Delta,No,18697.25
M014159,EQ02512,B019,2025-08-26,Emergency,0,0.0,Team Alpha,No,0.0
M014160,EQ00230,B022,2025-11-05,Inspection,2,70722.17,Team Delta,No,35361.085
M014161,EQ02809,B006,2026-01-20,Corrective,0,0.0,Team Echo,No,0.0
M014162,EQ02557,B030,2026-01-25,Corrective,0,0.0,Team Alpha,No,0.0
M014163,EQ03513,B018,2026-06-17,Inspection,6,252617.43,Team Alpha,No,42102.905
M014164,EQ00032,B024,2025-10-14,Corrective,2,60592.16,Team Alpha,No,30296.08
M014165,EQ02149,B008,2025-10-02,Inspection,4,177678.3,Team Bravo,No,44419.575
M014166,EQ03444,B030,2026-02-04,Emergency,9,447953.79,Team Charlie,Yes,49772.64333333333
M014167,EQ03379,B006,2026-06-27,Preventive,2,50521.31,Team Charlie,No,25260.655
M014168,EQ02246,B017,2025-10-24,Inspection,3,133462.04,Team Delta,No,44487.34666666667
M014169,EQ03412,B030,2025-11-09,Corrective,13,516967.57,Team Charlie,Yes,39766.736153846156
M014170,EQ02600,B020,2026-06-21,Emergency,4,141946.82,Team Echo,No,35486.705
M014171,EQ03770,B006,2026-07-19,Corrective,17,496668.0,Team Delta,Yes,29215.764705882353
M014172,EQ00791,B021,2025-04-12,Preventive,14,239983.04,Team Charlie,Yes,17141.645714285714
M014173,EQ01208,B023,2026-08-15,Corrective,10,427751.04,Team Alpha,Yes,42775.104
M014174,EQ02359,B018,2025-05-12,Inspection,1,33710.5,Team Echo,No,33710.5
M014175,EQ03083,B011,2026-09-11,Emergency,10,368418.48,Team Delta,Yes,36841.848
M014176,EQ04779,B013,2026-08-15,Inspection,0,0.0,Team Bravo,No,0.0
M014177,EQ02323,B018,2026-07-17,Emergency,2,98922.95,Team Bravo,No,49461.475
M014178,EQ01994,B006,2025-07-08,Inspection,2,74159.28,Team Echo,No,37079.64
M014179,EQ00997,B011,2025-10-02,Preventive,4,120695.75,Team Delta,No,30173.9375
M014180,EQ02134,B017,2026-02-17,Inspection,10,484094.09,Team Delta,Yes,48409.409
M014181,EQ00567,B003,2025-12-09,Corrective,1,21690.63,Team Delta,No,21690.63
M014182,EQ04066,B003,2025-10-25,Preventive,4,120875.26,Team Echo,No,30218.815
M014183,EQ02701,B010,2026-08-24,Corrective,7,169670.21,Team Echo,No,24238.601428571426
M014184,EQ00131,B025,2025-04-01,Inspection,17,492482.94,Team Alpha,Yes,28969.584705882353
M014185,EQ04338,B027,2025-03-18,Corrective,2,75753.77,Team Bravo,No,37876.885
M014186,EQ01689,B029,2025-07-16,Emergency,8,195012.93,Team Echo,Yes,24376.61625
M014187,EQ03641,B011,2026-07-13,Emergency,14,615962.95,Team Alpha,Yes,43997.35357142857
M014188,EQ00796,B008,2025-02-12,Inspection,5,142911.96,Team Echo,No,28582.392
M014189,EQ02393,B008,2026-01-09,Preventive,4,88308.35,Team Bravo,No,22077.0875
M014190,EQ02740,B008,2026-05-24,Preventive,2,99626.8,Team Bravo,No,49813.4
M014191,EQ00490,B004,2026-03-16,Emergency,4,169147.54,Team Echo,No,42286.885
M014192,EQ01636,B008,2026-07-29,Inspection,11,188996.2,Team Echo,Yes,17181.47272727273
M014193,EQ01896,B017,2026-09-01,Emergency,5,156560.3,Team Charlie,No,31312.059999999998
M014194,EQ00878,B023,2026-01-20,Corrective,9,442231.51,Team Echo,Yes,49136.834444444445
M014195,EQ02121,B015,2026-09-07,Inspection,8,272265.02,Team Charlie,Yes,34033.1275
M014196,EQ02572,B008,2025-04-27,Inspection,11,168979.12,Team Alpha,Yes,15361.738181818182
M014197,EQ00271,B022,2026-07-22,Preventive,7,191444.83,Team Alpha,No,27349.261428571426
M014198,EQ01587,B028,2026-09-14,Corrective,5,237771.4,Team Charlie,No,47554.28
M014199,EQ01856,B020,2026-09-25,Emergency,3,104045.86,Team Delta,No,34681.95333333333
M014200,EQ03075,B025,2025-03-17,Inspection,6,162707.37,Team Delta,No,27117.895
M014201,EQ02609,B016,2026-08-30,Inspection,6,183114.31,Team Delta,No,30519.051666666666
M014202,EQ01372,B026,2026-10-14,Inspection,4,185198.79,Team Alpha,No,46299.6975
M014203,EQ02249,B017,2025-06-05,Corrective,2,54751.83,Team Echo,No,27375.915
M014204,EQ00221,B007,2026-05-16,Inspection,0,0.0,Team Echo,No,0.0
M014205,EQ03912,B026,2025-01-21,Corrective,8,139329.06,Team Alpha,Yes,17416.1325
M014206,EQ03892,B006,2025-07-13,Corrective,3,101716.03,Team Bravo,No,33905.34333333333
M014207,EQ04365,B006,2025-05-20,Preventive,4,175703.88,Team Alpha,No,43925.97
M014208,EQ00191,B020,2026-12-18,Inspection,12,378938.3,Team Delta,Yes,31578.191666666666
M014209,EQ02356,B028,2025-04-18,Emergency,14,698197.22,Team Echo,Yes,49871.229999999996
M014210,EQ00559,B029,2026-10-09,Inspection,2,42141.52,Team Charlie,No,21070.76
M014211,EQ00104,B011,2026-03-08,Emergency,0,0.0,Team Delta,No,0.0
M014212,EQ03697,B004,2026-02-20,Preventive,7,208790.51,Team Alpha,No,29827.215714285714
M014213,EQ03517,B013,2025-01-19,Emergency,1,49884.05,Team Echo,No,49884.05
M014214,EQ04885,B002,2026-02-22,Corrective,7,284776.73,Team Alpha,No,40682.39
M014215,EQ04281,B013,2026-11-20,Emergency,3,123652.45,Team Charlie,No,41217.48333333333
M014216,EQ01270,B012,2026-11-04,Inspection,17,368177.12,Team Bravo,Yes,21657.477647058822
M014217,EQ01614,B030,2026-08-08,Preventive,10,234895.93,Team Bravo,Yes,23489.593
M014218,EQ04400,B029,2026-09-25,Preventive,8,176550.31,Team Delta,Yes,22068.78875
M014219,EQ00157,B018,2025-06-30,Inspection,20,579332.21,Team Bravo,Yes,28966.6105
M014220,EQ03031,B009,2025-09-22,Emergency,7,154232.38,Team Charlie,No,22033.197142857145
M014221,EQ03725,B006,2025-01-20,Preventive,3,126310.87,Team Delta,No,42103.62333333333
M014222,EQ00348,B024,2026-06-19,Emergency,17,406555.44,Team Bravo,Yes,23915.02588235294
M014223,EQ04129,B014,2025-05-02,Preventive,4,175875.42,Team Echo,No,43968.855
M014224,EQ01841,B002,2026-03-18,Emergency,2,45451.49,Team Charlie,No,22725.745
M014225,EQ02836,B008,2026-08-14,Emergency,4,163193.05,Team Delta,No,40798.2625
M014226,EQ00711,B005,2025-11-25,Emergency,8,323840.66,Team Bravo,Yes,40480.0825
M014227,EQ01850,B007,2025-11-28,Corrective,4,176115.47,Team Echo,No,44028.8675
M014228,EQ02427,B015,2025-09-15,Preventive,4,172367.12,Team Bravo,No,43091.78
M014229,EQ01690,B015,2025-11-07,Corrective,6,199298.83,Team Alpha,No,33216.471666666665
M014230,EQ03223,B026,2026-10-27,Preventive,6,256449.09,Team Delta,No,42741.515
M014231,EQ03824,B021,2025-04-17,Emergency,9,193579.76,Team Bravo,Yes,21508.862222222222
M014232,EQ04607,B026,2025-12-02,Emergency,2,36979.44,Team Charlie,No,18489.72
M014233,EQ01956,B023,2026-04-14,Preventive,10,162896.44,Team Delta,Yes,16289.644
M014234,EQ01124,B002,2026-10-30,Corrective,5,185151.37,Team Bravo,No,37030.274
M014235,EQ01288,B020,2026-12-13,Inspection,3,88228.99,Team Delta,No,29409.663333333334
M014236,EQ04640,B017,2026-05-14,Preventive,3,76533.53,Team Alpha,No,25511.176666666666
M014237,EQ02686,B001,2026-08-23,Inspection,4,87427.82,Team Delta,No,21856.955
M014238,EQ00763,B011,2025-07-18,Corrective,1,40993.05,Team Bravo,No,40993.05
M014239,EQ00276,B025,2025-08-18,Emergency,5,94287.12,Team Charlie,No,18857.424
M014240,EQ02336,B027,2025-07-10,Emergency,17,366853.54,Team Delta,Yes,21579.62
M014241,EQ00919,B025,2026-05-02,Preventive,1,46748.52,Team Charlie,No,46748.52
M014242,EQ01586,B014,2026-02-19,Emergency,3,122896.79,Team Bravo,No,40965.596666666665
M014243,EQ01758,B021,2026-09-03,Emergency,5,118524.47,Team Delta,No,23704.894
M014244,EQ03197,B025,2025-05-20,Preventive,5,222439.89,Team Echo,No,44487.978
M014245,EQ02199,B003,2025-10-01,Emergency,6,166882.57,Team Bravo,No,27813.76166666667
M014246,EQ04227,B003,2025-06-20,Preventive,4,131160.92,Team Charlie,No,32790.23
M014247,EQ02223,B024,2025-11-25,Emergency,0,0.0,Team Echo,No,0.0
M014248,EQ04868,B006,2026-06-27,Inspection,18,813247.19,Team Alpha,Yes,45180.39944444444
M014249,EQ03535,B011,2026-08-20,Preventive,19,541898.32,Team Bravo,Yes,28520.964210526312
M014250,EQ00886,B009,2026-11-21,Corrective,3,98599.13,Team Charlie,No,32866.37666666667
M014251,EQ03427,B010,2026-12-22,Inspection,0,0.0,Team Delta,No,0.0
M014252,EQ02872,B016,2025-10-17,Inspection,6,247112.21,Team Charlie,No,41185.36833333333
M014253,EQ01145,B002,2026-11-11,Preventive,11,183766.34,Team Bravo,Yes,16706.03090909091
M014254,EQ00861,B018,2025-03-30,Emergency,2,71351.74,Team Echo,No,35675.87
M014255,EQ04547,B004,2026-11-14,Inspection,2,93360.07,Team Bravo,No,46680.035
M014256,EQ02103,B015,2025-04-08,Corrective,6,149251.49,Team Echo,No,24875.248333333333
M014257,EQ01533,B016,2025-01-31,Corrective,4,187626.4,Team Echo,No,46906.6
M014258,EQ03740,B005,2026-02-04,Preventive,3,65614.84,Team Echo,No,21871.61333333333
M014259,EQ03290,B007,2026-02-16,Inspection,5,200920.86,Team Delta,No,40184.172
M014260,EQ01440,B008,2026-02-04,Inspection,4,79783.23,Team Alpha,No,19945.8075
M014261,EQ00539,B024,2025-01-20,Corrective,6,241946.48,Team Alpha,No,40324.41333333334
M014262,EQ01304,B013,2025-10-15,Inspection,6,279884.67,Team Bravo,No,46647.445
M014263,EQ02300,B015,2025-07-28,Inspection,14,367319.27,Team Alpha,Yes,26237.090714285714
M014264,EQ00863,B003,2025-03-05,Emergency,16,513721.31,Team Bravo,Yes,32107.581875
M014265,EQ04392,B008,2025-12-25,Emergency,13,590162.36,Team Bravo,Yes,45397.10461538461
M014266,EQ01901,B026,2026-03-29,Preventive,4,180432.34,Team Delta,No,45108.085
M014267,EQ04136,B006,2025-12-14,Emergency,1,21814.35,Team Alpha,No,21814.35
M014268,EQ01350,B005,2025-05-28,Emergency,2,91825.64,Team Echo,No,45912.82
M014269,EQ01724,B021,2026-05-23,Inspection,10,287732.38,Team Echo,Yes,28773.238
M014270,EQ03985,B004,2026-12-18,Emergency,3,122697.01,Team Bravo,No,40899.003333333334
M014271,EQ02695,B004,2026-08-28,Emergency,14,655273.23,Team Alpha,Yes,46805.23071428571
M014272,EQ00808,B030,2026-01-04,Corrective,7,182270.66,Team Echo,No,26038.665714285715
M014273,EQ04680,B016,2026-11-24,Emergency,12,318018.96,Team Alpha,Yes,26501.58
M014274,EQ01827,B029,2026-11-13,Emergency,8,275557.81,Team Bravo,Yes,34444.72625
M014275,EQ00254,B005,2026-01-10,Corrective,3,114880.86,Team Alpha,No,38293.62
M014276,EQ03037,B020,2026-03-29,Preventive,3,141059.4,Team Alpha,No,47019.799999999996
M014277,EQ04767,B018,2025-04-15,Corrective,4,193912.37,Team Bravo,No,48478.0925
M014278,EQ04924,B027,2025-03-23,Preventive,2,46753.67,Team Bravo,No,23376.835
M014279,EQ01155,B004,2026-06-07,Inspection,7,305275.64,Team Echo,No,43610.805714285714
M014280,EQ02469,B023,2025-03-20,Emergency,1,44647.19,Team Echo,No,44647.19
M014281,EQ01838,B018,2025-01-08,Preventive,7,211285.37,Team Delta,No,30183.624285714286
M014282,EQ00289,B002,2025-01-28,Corrective,3,88302.59,Team Alpha,No,29434.196666666667
M014283,EQ01624,B019,2026-12-05,Corrective,2,48693.08,Team Charlie,No,24346.54
M014284,EQ04980,B002,2026-12-30,Preventive,4,165051.56,Team Echo,No,41262.89
M014285,EQ00945,B007,2025-06-17,Emergency,3,139642.23,Team Echo,No,46547.41
M014286,EQ00136,B009,2026-12-14,Corrective,2,84188.24,Team Bravo,No,42094.12
M014287,EQ04868,B022,2025-01-21,Emergency,10,349442.67,Team Delta,Yes,34944.267
M014288,EQ03216,B018,2025-03-10,Corrective,9,446834.41,Team Charlie,Yes,49648.26777777777
M014289,EQ04002,B003,2025-10-27,Inspection,4,184442.46,Team Bravo,No,46110.615
M014290,EQ03679,B019,2026-07-23,Inspection,3,51253.9,Team Echo,No,17084.633333333335
M014291,EQ00186,B001,2026-04-25,Preventive,5,147772.34,Team Charlie,No,29554.468
M014292,EQ03270,B013,2026-08-20,Corrective,3,122175.69,Team Delta,No,40725.23
M014293,EQ04058,B014,2026-12-21,Corrective,4,138779.73,Team Delta,No,34694.9325
M014294,EQ03965,B018,2025-02-05,Emergency,4,165764.29,Team Charlie,No,41441.0725
M014295,EQ01238,B004,2025-08-14,Inspection,6,233724.24,Team Delta,No,38954.04
M014296,EQ02002,B019,2025-03-29,Emergency,0,0.0,Team Bravo,No,0.0
M014297,EQ01872,B018,2025-12-28,Inspection,3,53056.3,Team Charlie,No,17685.433333333334
M014298,EQ00027,B014,2026-03-04,Inspection,2,73664.66,Team Echo,No,36832.33
M014299,EQ00400,B029,2026-06-11,Corrective,7,120691.84,Team Charlie,No,17241.691428571427
M014300,EQ03460,B015,2025-10-05,Preventive,3,128440.61,Team Echo,No,42813.53666666667
M014301,EQ02002,B015,2025-03-29,Preventive,4,159509.61,Team Delta,No,39877.4025
M014302,EQ04882,B029,2025-12-26,Corrective,4,151428.29,Team Delta,No,37857.0725
M014303,EQ03673,B015,2025-03-14,Preventive,4,81823.93,Team Delta,No,20455.9825
M014304,EQ01663,B012,2026-04-28,Preventive,5,150392.63,Team Charlie,No,30078.526
M014305,EQ01516,B014,2025-12-09,Corrective,1,25256.29,Team Delta,No,25256.29
M014306,EQ01711,B023,2025-06-09,Emergency,2,91993.34,Team Charlie,No,45996.67
M014307,EQ04462,B025,2026-09-15,Corrective,6,271572.61,Team Alpha,No,45262.10166666666
M014308,EQ00340,B020,2025-05-04,Emergency,18,447514.89,Team Bravo,Yes,24861.938333333335
M014309,EQ04331,B030,2025-01-18,Preventive,12,543355.61,Team Charlie,Yes,45279.63416666666
M014310,EQ04609,B007,2026-04-25,Preventive,14,671132.0,Team Bravo,Yes,47938.0
M014311,EQ00475,B020,2026-12-19,Corrective,2,56151.68,Team Charlie,No,28075.84
M014312,EQ00931,B012,2026-05-02,Emergency,2,46693.62,Team Charlie,No,23346.81
M014313,EQ02474,B022,2026-09-15,Preventive,1,34526.13,Team Bravo,No,34526.13
M014314,EQ01643,B007,2025-04-17,Corrective,1,28622.93,Team Delta,No,28622.93
M014315,EQ03758,B005,2025-11-13,Corrective,3,58882.46,Team Charlie,No,19627.486666666668
M014316,EQ02481,B017,2026-09-08,Corrective,4,111053.51,Team Delta,No,27763.3775
M014317,EQ01120,B016,2025-11-22,Preventive,2,32335.07,Team Echo,No,16167.535
M014318,EQ00855,B018,2025-12-18,Inspection,2,39439.28,Team Bravo,No,19719.64
M014319,EQ00772,B019,2025-11-16,Preventive,6,119880.83,Team Bravo,No,19980.138333333332
M014320,EQ03683,B028,2026-05-29,Inspection,0,0.0,Team Alpha,No,0.0
M014321,EQ03569,B004,2026-01-08,Inspection,8,258182.47,Team Echo,Yes,32272.80875
M014322,EQ04586,B018,2026-02-26,Preventive,7,214566.73,Team Charlie,No,30652.390000000003
M014323,EQ00859,B012,2025-02-17,Emergency,9,213564.34,Team Bravo,Yes,23729.37111111111
