Mission_ID,Mission_Date,Base_ID,Region,Mission_Type,Priority,Weather,Duration_Hours,Personnel_Deployed,Budget_INR,Mission_Status,Budget_Per_Person
MIS004300,2025-09-19,B008,East,Equipment Transport,Medium,Snow,51,34,4093018.97,Cancelled,120382.91088235295
MIS004301,2025-12-28,B017,East,Border Patrol,High,Storm,43,201,3968432.66,Completed,19743.44606965174
MIS004302,2025-05-16,B022,Central,Medical Support,Medium,Fog,23,126,3195784.41,Completed,25363.368333333336
MIS004303,2025-05-04,B017,East,Reconnaissance,High,Snow,61,175,4113002.78,Completed,23502.873028571426
MIS004304,2026-03-28,B010,North,Supply Delivery,Critical,Fog,72,225,3969206.31,Completed,17640.916933333334
MIS004305,2025-10-05,B017,East,Equipment Transport,High,Rain,11,338,2546369.33,Completed,7533.637071005917
MIS004306,2025-06-21,B019,Central,Supply Delivery,Low,Clear,72,177,679204.54,Completed,3837.3137853107346
MIS004307,2026-09-28,B014,Central,Training Exercise,Medium,Rain,17,32,4360747.14,Completed,136273.348125
MIS004308,2026-05-21,B007,Central,Equipment Transport,High,Clear,72,281,2927607.91,Completed,10418.533487544484
MIS004309,2025-03-03,B021,South,Disaster Relief,High,Clear,71,248,3171966.26,Completed,12790.186532258063
MIS004310,2026-06-21,B020,East,Training Exercise,High,Fog,41,192,749592.42,Completed,3904.1271875
MIS004311,2025-11-06,B017,East,Reconnaissance,Medium,Fog,41,175,4443134.34,Completed,25389.339085714284
MIS004312,2025-03-25,B018,East,Border Patrol,Low,Rain,9,110,166649.83,Cancelled,1514.9984545454545
MIS004313,2025-05-16,B030,East,Medical Support,Low,Snow,72,103,818549.59,Completed,7947.083398058252
MIS004314,2025-11-09,B002,North,Supply Delivery,Medium,Snow,41,285,908765.04,Completed,3188.649263157895
MIS004315,2025-07-15,B023,North,Supply Delivery,Medium,Snow,72,68,2362003.22,Delayed,34735.34147058824
MIS004316,2026-10-11,B027,West,Reconnaissance,High,Storm,54,100,2305019.01,Completed,23050.190099999996
MIS004317,2025-06-15,B020,East,Border Patrol,Critical,Fog,31,343,3259246.99,Completed,9502.17781341108
MIS004318,2026-10-10,B017,East,Supply Delivery,Medium,Clear,70,68,1496097.95,Delayed,22001.44044117647
MIS004319,2026-12-13,B029,South,Reconnaissance,Medium,Rain,44,124,2763298.54,Completed,22284.66564516129
MIS004320,2025-06-08,B028,West,Surveillance,High,Clear,66,190,3170909.5,Cancelled,16688.997368421053
MIS004321,2025-07-16,B002,North,Disaster Relief,High,Rain,37,55,1005520.62,Completed,18282.19309090909
MIS004322,2025-07-18,B009,South,Surveillance,Medium,Rain,11,48,3307788.28,Completed,68912.25583333333
MIS004323,2026-10-10,B016,West,Training Exercise,High,Rain,69,282,4613476.28,Completed,16359.844964539008
MIS004324,2025-05-31,B028,West,Disaster Relief,Medium,Fog,69,398,940926.53,Delayed,2364.1370100502513
MIS004325,2025-12-26,B003,East,Training Exercise,Low,Rain,26,316,1315409.07,Delayed,4162.686930379747
MIS004326,2025-01-14,B018,East,Border Patrol,Critical,Clear,15,207,4154503.41,Completed,20070.064782608697
MIS004327,2026-07-03,B026,South,Medical Support,Critical,Rain,32,80,3564003.46,Completed,44550.04325
MIS004328,2025-03-18,B029,South,Surveillance,Medium,Fog,69,99,656744.87,Completed,6633.7865656565655
MIS004329,2025-05-07,B027,West,Medical Support,Low,Fog,40,258,4452115.42,Completed,17256.261317829456
MIS004330,2025-10-01,B004,East,Medical Support,Medium,Rain,23,31,812397.83,Cancelled,26206.381612903224
MIS004331,2026-03-26,B001,Central,Disaster Relief,High,Storm,59,346,1109682.13,Completed,3207.173786127167
MIS004332,2025-03-11,B001,Central,Surveillance,High,Snow,29,153,2883011.03,Delayed,18843.209346405227
MIS004333,2025-02-07,B014,Central,Reconnaissance,Low,Fog,62,125,1433735.33,Completed,11469.88264
MIS004334,2025-10-25,B016,West,Surveillance,Medium,Fog,20,256,1754090.33,Completed,6851.9153515625
MIS004335,2026-03-26,B026,South,Border Patrol,High,Snow,16,84,4382121.14,Cancelled,52168.10880952381
MIS004336,2026-06-15,B024,East,Equipment Transport,Medium,Snow,45,53,1541460.77,Delayed,29084.165471698114
MIS004337,2025-11-17,B009,South,Surveillance,Medium,Clear,4,373,2489942.33,Cancelled,6675.448605898124
MIS004338,2025-07-25,B019,Central,Disaster Relief,Low,Clear,59,354,1903134.55,Completed,5376.086299435028
MIS004339,2026-02-10,B018,East,Medical Support,Low,Snow,14,71,1875486.38,Completed,26415.30112676056
MIS004340,2025-10-06,B002,North,Surveillance,High,Storm,17,65,247064.98,Completed,3800.9996923076924
MIS004341,2025-07-21,B026,South,Supply Delivery,High,Clear,22,372,2239362.33,Completed,6019.79120967742
MIS004342,2025-01-08,B026,South,Border Patrol,Medium,Rain,40,295,3143886.24,Completed,10657.241491525425
MIS004343,2025-12-04,B009,South,Surveillance,Medium,Snow,55,371,4235688.99,Cancelled,11416.951455525606
MIS004344,2025-04-25,B013,South,Border Patrol,Low,Snow,22,352,1508600.23,Delayed,4285.796107954546
MIS004345,2026-01-25,B015,South,Equipment Transport,High,Snow,26,31,4820685.15,Completed,155505.97258064518
MIS004346,2026-10-23,B001,Central,Reconnaissance,Critical,Clear,65,359,1174164.94,Completed,3270.6544289693593
MIS004347,2025-07-19,B003,East,Equipment Transport,Medium,Rain,9,188,1515564.59,Completed,8061.513776595745
MIS004348,2026-05-25,B023,North,Equipment Transport,High,Rain,59,61,1847964.09,Completed,30294.493278688526
MIS004349,2025-09-27,B011,Central,Training Exercise,Critical,Rain,35,300,1069959.84,Completed,3566.5328000000004
MIS004350,2025-04-08,B014,Central,Border Patrol,Medium,Snow,40,206,3046438.29,Completed,14788.535388349515
MIS004351,2025-08-14,B013,South,Disaster Relief,High,Storm,11,205,3107661.39,Completed,15159.323853658538
MIS004352,2025-06-28,B012,South,Supply Delivery,Medium,Rain,17,93,633141.9,Completed,6807.977419354839
MIS004353,2026-01-12,B024,East,Equipment Transport,Medium,Snow,9,77,4436400.95,Delayed,57615.596753246755
MIS004354,2026-03-07,B020,East,Equipment Transport,Medium,Snow,71,202,3880224.88,Delayed,19209.03405940594
MIS004355,2026-10-06,B022,Central,Border Patrol,Low,Snow,57,50,3848379.19,Delayed,76967.5838
MIS004356,2025-06-07,B030,East,Equipment Transport,High,Clear,12,363,3415426.71,Completed,9408.889008264463
MIS004357,2025-02-25,B013,South,Reconnaissance,High,Storm,18,144,4367959.67,Delayed,30333.053263888887
MIS004358,2026-03-28,B027,West,Disaster Relief,Critical,Rain,39,395,774598.16,Completed,1961.008
MIS004359,2025-05-09,B008,East,Surveillance,Medium,Storm,25,169,961902.98,Completed,5691.733609467456
MIS004360,2025-10-17,B026,South,Surveillance,High,Snow,17,126,210648.59,Delayed,1671.8142063492064
MIS004361,2026-12-28,B017,East,Equipment Transport,Medium,Clear,32,219,1013264.97,Completed,4626.780684931507
MIS004362,2026-02-25,B023,North,Training Exercise,Medium,Rain,43,149,2500820.18,Completed,16784.028053691276
MIS004363,2025-07-27,B019,Central,Training Exercise,High,Storm,19,162,4676636.62,Completed,28868.127283950616
MIS004364,2025-04-03,B004,East,Equipment Transport,Medium,Clear,72,343,209568.27,Completed,610.9862099125364
MIS004365,2026-02-05,B020,East,Reconnaissance,Medium,Clear,61,201,820039.62,Delayed,4079.7991044776118
MIS004366,2026-06-22,B014,Central,Training Exercise,High,Storm,68,372,2517081.38,Completed,6766.3477956989245
MIS004367,2026-09-25,B016,West,Reconnaissance,Low,Clear,30,216,3630862.29,Completed,16809.54763888889
MIS004368,2026-07-12,B005,East,Reconnaissance,High,Rain,33,307,3500934.44,Completed,11403.695244299674
MIS004369,2025-11-30,B010,North,Training Exercise,Medium,Storm,8,143,3666726.83,Completed,25641.446363636365
MIS004370,2026-03-21,B019,Central,Supply Delivery,High,Fog,59,259,3446217.04,Completed,13305.857297297298
MIS004371,2025-05-24,B030,East,Reconnaissance,High,Rain,65,205,804101.86,Completed,3922.4480975609754
MIS004372,2026-07-11,B008,East,Medical Support,Low,Snow,29,52,2617526.57,Completed,50337.04942307692
MIS004373,2026-09-18,B023,North,Supply Delivery,Medium,Clear,59,96,4409727.95,Completed,45934.66614583333
MIS004374,2026-01-09,B022,Central,Reconnaissance,Medium,Storm,25,310,4807732.98,Delayed,15508.81606451613
MIS004375,2026-10-14,B024,East,Training Exercise,High,Clear,22,85,618358.33,Completed,7274.8038823529405
MIS004376,2025-10-05,B003,East,Supply Delivery,Critical,Snow,59,379,2906895.76,Delayed,7669.909656992084
MIS004377,2025-10-25,B008,East,Equipment Transport,High,Rain,40,224,2875737.79,Delayed,12838.115133928572
MIS004378,2026-09-07,B030,East,Surveillance,Critical,Snow,57,203,1594013.87,Completed,7852.285073891626
MIS004379,2025-06-12,B016,West,Reconnaissance,Low,Snow,67,27,2445978.16,Delayed,90591.78370370371
MIS004380,2025-07-31,B008,East,Reconnaissance,Medium,Snow,27,171,3728299.55,Completed,21802.921345029237
MIS004381,2026-04-27,B024,East,Border Patrol,High,Fog,59,92,3523579.53,Completed,38299.7775
MIS004382,2026-01-08,B001,Central,Border Patrol,Medium,Rain,36,288,3892791.03,Completed,13516.635520833333
MIS004383,2026-11-11,B003,East,Reconnaissance,Low,Storm,68,295,2285176.46,Completed,7746.360881355932
MIS004384,2026-11-30,B026,South,Border Patrol,High,Fog,25,143,2063885.69,Completed,14432.767062937062
MIS004385,2025-05-08,B019,Central,Surveillance,Medium,Fog,42,382,3264428.7,Delayed,8545.624869109948
MIS004386,2026-03-30,B026,South,Equipment Transport,Critical,Fog,46,368,2090803.39,Completed,5681.5309510869565
MIS004387,2025-03-05,B005,East,Reconnaissance,Low,Storm,65,122,4260749.0,Completed,34924.17213114754
MIS004388,2025-08-13,B005,East,Supply Delivery,High,Clear,4,87,1152482.32,Completed,13246.923218390806
MIS004389,2025-05-10,B016,West,Medical Support,Medium,Storm,25,165,4237721.2,Completed,25683.15878787879
MIS004390,2026-04-26,B020,East,Border Patrol,Medium,Fog,10,174,3830100.1,Completed,22012.069540229884
MIS004391,2026-05-09,B018,East,Equipment Transport,High,Fog,6,358,1882296.94,Completed,5257.812681564245
MIS004392,2026-09-28,B016,West,Medical Support,Medium,Fog,17,37,151685.45,Delayed,4099.606756756757
MIS004393,2026-11-28,B025,West,Equipment Transport,Critical,Storm,24,364,486092.53,Completed,1335.4190384615385
MIS004394,2025-01-19,B029,South,Supply Delivery,Medium,Snow,42,260,4209914.91,Delayed,16191.980423076924
MIS004395,2026-10-06,B015,South,Training Exercise,Low,Fog,68,103,780260.72,Completed,7575.346796116504
MIS004396,2026-06-22,B001,Central,Supply Delivery,Medium,Rain,52,309,1791564.87,Delayed,5797.9445631067965
MIS004397,2026-11-22,B008,East,Reconnaissance,Low,Storm,39,107,2117684.82,Completed,19791.44691588785
MIS004398,2026-04-17,B016,West,Disaster Relief,Medium,Storm,57,214,1299307.53,Cancelled,6071.530514018692
MIS004399,2026-09-04,B027,West,Disaster Relief,High,Rain,26,32,1727753.53,Completed,53992.2978125
MIS004400,2025-10-08,B002,North,Supply Delivery,High,Snow,72,73,1947091.84,Completed,26672.49095890411
MIS004401,2025-10-03,B011,Central,Surveillance,Medium,Fog,56,227,3735902.53,Completed,16457.72039647577
MIS004402,2025-06-26,B021,South,Reconnaissance,Medium,Fog,62,161,4213103.72,Completed,26168.34608695652
MIS004403,2026-10-15,B004,East,Border Patrol,Critical,Storm,23,63,2861283.87,Completed,45417.20428571429
MIS004404,2025-08-08,B001,Central,Supply Delivery,Low,Storm,18,167,3233599.18,Delayed,19362.869341317368
MIS004405,2026-04-06,B001,Central,Surveillance,Medium,Storm,61,119,152972.71,Completed,1285.4849579831932
MIS004406,2025-06-18,B026,South,Surveillance,Medium,Storm,56,355,4702175.39,Delayed,13245.564478873239
MIS004407,2025-04-16,B024,East,Supply Delivery,Low,Clear,72,162,910669.22,Completed,5621.414938271605
MIS004408,2025-07-28,B016,West,Medical Support,Medium,Storm,56,70,2295797.89,Cancelled,32797.112714285715
MIS004409,2025-10-16,B010,North,Training Exercise,High,Clear,52,161,3021047.95,Completed,18764.27298136646
MIS004410,2026-05-17,B017,East,Equipment Transport,Low,Rain,62,306,3420784.03,Completed,11179.032777777777
MIS004411,2025-09-21,B024,East,Border Patrol,High,Snow,66,131,923840.99,Completed,7052.221297709923
MIS004412,2026-02-06,B006,West,Supply Delivery,High,Fog,54,329,2855400.98,Completed,8679.030334346504
MIS004413,2026-01-06,B005,East,Training Exercise,Critical,Snow,4,172,1523540.78,Completed,8857.79523255814
MIS004414,2026-07-09,B014,Central,Reconnaissance,Low,Fog,65,202,1513316.27,Cancelled,7491.664702970297
MIS004415,2026-06-01,B012,South,Equipment Transport,Medium,Rain,27,329,592161.53,Completed,1799.8830699088146
MIS004416,2025-07-11,B029,South,Reconnaissance,Low,Clear,4,75,1920864.99,Completed,25611.5332
MIS004417,2026-04-28,B018,East,Supply Delivery,Critical,Snow,62,367,3398434.3,Completed,9260.038964577656
MIS004418,2025-04-19,B009,South,Equipment Transport,Low,Storm,54,229,3669214.73,Completed,16022.771746724891
MIS004419,2025-09-02,B005,East,Reconnaissance,Low,Clear,44,173,3537032.08,Completed,20445.272138728324
MIS004420,2025-04-16,B018,East,Disaster Relief,Medium,Rain,9,212,2393800.93,Cancelled,11291.513820754717
MIS004421,2026-08-30,B003,East,Training Exercise,Medium,Storm,71,65,629274.4,Completed,9681.144615384615
MIS004422,2026-04-06,B011,Central,Surveillance,Medium,Snow,48,38,3433934.67,Completed,90366.70184210526
MIS004423,2026-08-01,B024,East,Border Patrol,Low,Storm,68,65,1060912.51,Delayed,16321.730923076922
MIS004424,2025-08-05,B015,South,Supply Delivery,High,Clear,7,38,1804965.38,Completed,47499.088947368415
MIS004425,2026-12-26,B006,West,Training Exercise,Medium,Clear,37,130,1257818.2,Completed,9675.524615384615
MIS004426,2026-02-04,B030,East,Equipment Transport,Low,Rain,56,400,3184088.24,Completed,7960.220600000001
MIS004427,2025-08-25,B025,West,Supply Delivery,High,Storm,38,242,1106553.05,Delayed,4572.53326446281
MIS004428,2026-07-08,B009,South,Supply Delivery,High,Snow,38,37,392643.9,Cancelled,10611.997297297297
MIS004429,2026-03-24,B026,South,Equipment Transport,High,Rain,59,188,1221203.58,Completed,6495.763723404256
MIS004430,2026-12-11,B007,Central,Border Patrol,Medium,Clear,66,168,3006944.41,Cancelled,17898.47863095238
MIS004431,2026-09-22,B014,Central,Disaster Relief,High,Fog,72,389,1122871.18,Completed,2886.558303341902
MIS004432,2026-07-06,B026,South,Reconnaissance,Medium,Snow,30,302,153758.57,Delayed,509.1343377483444
MIS004433,2025-04-03,B008,East,Reconnaissance,Low,Snow,57,165,4820779.05,Cancelled,29216.842727272728
MIS004434,2025-02-01,B012,South,Disaster Relief,High,Storm,32,49,2056004.4,Completed,41959.27346938775
MIS004435,2025-05-30,B001,Central,Border Patrol,Medium,Snow,25,96,4261670.41,Completed,44392.40010416667
MIS004436,2026-03-29,B007,Central,Disaster Relief,Medium,Storm,33,141,3480474.03,Completed,24684.212978723404
MIS004437,2026-12-28,B028,West,Surveillance,High,Clear,26,185,1295938.72,Completed,7005.074162162162
MIS004438,2025-02-01,B006,West,Training Exercise,Critical,Storm,6,181,2541359.56,Completed,14040.660552486188
MIS004439,2025-03-21,B030,East,Reconnaissance,Medium,Storm,37,267,318896.95,Delayed,1194.3705992509363
MIS004440,2026-10-11,B003,East,Equipment Transport,Medium,Storm,65,146,2852885.3,Completed,19540.310273972602
MIS004441,2026-01-15,B008,East,Training Exercise,Critical,Fog,40,149,3976880.61,Completed,26690.47389261745
MIS004442,2026-11-05,B016,West,Border Patrol,Low,Storm,32,187,2039165.09,Delayed,10904.626149732621
MIS004443,2026-09-12,B029,South,Supply Delivery,Critical,Clear,5,24,4726760.49,Completed,196948.35375
MIS004444,2026-04-01,B018,East,Border Patrol,Medium,Clear,48,84,990112.47,Delayed,11787.053214285714
MIS004445,2025-09-05,B004,East,Surveillance,Low,Snow,42,50,1465352.51,Completed,29307.0502
MIS004446,2026-10-04,B002,North,Medical Support,High,Storm,41,69,1117639.65,Completed,16197.67608695652
MIS004447,2026-03-11,B011,Central,Border Patrol,Low,Rain,60,104,4011060.28,Completed,38567.887307692305
MIS004448,2026-11-21,B016,West,Training Exercise,Medium,Fog,67,310,4905143.47,Completed,15823.043451612903
MIS004449,2025-07-07,B026,South,Medical Support,Critical,Storm,42,58,2102391.36,Cancelled,36248.12689655172
MIS004450,2026-10-07,B012,South,Medical Support,Low,Storm,11,356,4154468.28,Completed,11669.854719101124
MIS004451,2026-03-08,B006,West,Supply Delivery,High,Snow,26,327,904847.5,Cancelled,2767.117737003058
MIS004452,2026-11-09,B004,East,Border Patrol,Critical,Fog,49,253,3018215.73,Completed,11929.706442687748
MIS004453,2026-06-12,B004,East,Surveillance,Medium,Storm,68,66,3219584.27,Completed,48781.57984848485
MIS004454,2026-07-30,B006,West,Training Exercise,Low,Storm,25,233,4136988.08,Completed,17755.31364806867
MIS004455,2026-03-09,B009,South,Supply Delivery,Low,Storm,14,197,2727148.51,Completed,13843.393451776648
MIS004456,2026-09-01,B020,East,Training Exercise,Medium,Fog,27,21,3807948.77,Completed,181330.8938095238
MIS004457,2026-01-28,B016,West,Supply Delivery,High,Rain,7,86,163662.32,Completed,1903.0502325581397
MIS004458,2025-02-15,B006,West,Medical Support,High,Fog,20,180,4512050.62,Delayed,25066.947888888888
MIS004459,2025-09-02,B017,East,Equipment Transport,Low,Clear,72,131,1638918.15,Completed,12510.825572519083
MIS004460,2026-05-22,B011,Central,Equipment Transport,High,Storm,30,355,4745070.15,Completed,13366.394788732396
MIS004461,2026-06-30,B001,Central,Training Exercise,High,Clear,26,142,1762215.29,Completed,12409.966830985915
MIS004462,2025-02-15,B003,East,Border Patrol,High,Clear,41,258,773639.65,Completed,2998.6032945736433
MIS004463,2025-01-21,B015,South,Reconnaissance,Medium,Snow,52,185,2551245.42,Cancelled,13790.515783783783
MIS004464,2026-11-03,B013,South,Reconnaissance,Medium,Rain,24,377,1029788.89,Cancelled,2731.5355172413792
MIS004465,2025-08-27,B013,South,Supply Delivery,Medium,Snow,44,257,3575916.04,Delayed,13914.070194552529
MIS004466,2025-08-09,B002,North,Supply Delivery,Medium,Fog,58,21,4245748.54,Completed,202178.5019047619
MIS004467,2026-10-19,B008,East,Disaster Relief,Medium,Rain,61,309,4382055.36,Completed,14181.408932038836
MIS004468,2026-11-25,B010,North,Border Patrol,Medium,Snow,15,38,4987898.92,Completed,131260.49789473685
MIS004469,2025-08-05,B017,East,Surveillance,Medium,Fog,36,29,4772575.32,Delayed,164571.5627586207
MIS004470,2026-04-25,B030,East,Medical Support,Medium,Snow,48,106,496597.57,Completed,4684.882735849057
MIS004471,2025-10-25,B004,East,Medical Support,High,Clear,64,158,2591982.34,Completed,16404.951518987342
MIS004472,2026-08-22,B012,South,Training Exercise,Low,Storm,29,97,626113.12,Completed,6454.7744329896905
MIS004473,2026-06-11,B013,South,Medical Support,Low,Snow,46,50,2460717.65,Completed,49214.352999999996
MIS004474,2025-11-11,B002,North,Reconnaissance,Critical,Rain,38,136,3956459.01,Completed,29091.610367647056
MIS004475,2025-12-22,B021,South,Surveillance,Critical,Clear,16,294,1885101.91,Completed,6411.911258503401
MIS004476,2025-04-10,B012,South,Surveillance,Critical,Snow,40,287,3519034.08,Delayed,12261.442787456446
MIS004477,2025-12-05,B010,North,Disaster Relief,Low,Storm,17,44,4646562.89,Cancelled,105603.70204545454
MIS004478,2025-10-23,B025,West,Disaster Relief,Low,Snow,13,287,3965866.01,Delayed,13818.348466898953
MIS004479,2025-11-29,B023,North,Reconnaissance,Medium,Storm,32,301,3034065.03,Completed,10079.95026578073
MIS004480,2026-07-27,B019,Central,Equipment Transport,High,Fog,31,220,4624741.58,Cancelled,21021.552636363638
MIS004481,2025-06-11,B029,South,Surveillance,Low,Clear,42,239,4413707.01,Completed,18467.393347280333
MIS004482,2026-06-18,B026,South,Disaster Relief,High,Clear,30,223,864691.17,Completed,3877.538878923767
MIS004483,2025-02-28,B007,Central,Supply Delivery,Low,Snow,11,80,646942.29,Cancelled,8086.778625000001
MIS004484,2026-10-16,B010,North,Reconnaissance,Critical,Fog,35,131,4937268.38,Completed,37689.07160305343
MIS004485,2025-11-25,B003,East,Supply Delivery,High,Rain,48,210,4400570.84,Completed,20955.099238095238
MIS004486,2026-01-05,B022,Central,Border Patrol,Medium,Rain,53,302,3509355.73,Completed,11620.383211920529
MIS004487,2026-12-09,B005,East,Reconnaissance,High,Fog,15,241,3965930.34,Completed,16456.142489626556
MIS004488,2025-04-08,B011,Central,Equipment Transport,High,Rain,31,120,3352784.36,Completed,27939.869666666666
MIS004489,2026-01-21,B007,Central,Training Exercise,Critical,Rain,67,58,1247659.75,Completed,21511.375
MIS004490,2025-07-12,B014,Central,Surveillance,Critical,Clear,5,136,706585.25,Completed,5195.479779411765
MIS004491,2026-10-02,B018,East,Supply Delivery,High,Snow,7,35,3746929.99,Completed,107055.14257142857
MIS004492,2025-03-30,B026,South,Border Patrol,Low,Rain,61,255,900076.75,Completed,3529.7127450980392
MIS004493,2025-03-08,B016,West,Equipment Transport,Low,Storm,22,306,3284607.12,Cancelled,10734.010196078432
MIS004494,2026-07-07,B002,North,Medical Support,Medium,Rain,22,314,1685228.58,Completed,5366.97
MIS004495,2025-07-01,B019,Central,Surveillance,High,Rain,33,290,2124920.19,Delayed,7327.311
MIS004496,2026-01-23,B023,North,Surveillance,High,Snow,19,214,537737.39,Completed,2512.791542056075
MIS004497,2026-06-28,B024,East,Reconnaissance,Medium,Clear,27,189,4802427.24,Completed,25409.667936507936
MIS004498,2025-05-31,B002,North,Surveillance,Low,Storm,43,130,2668386.25,Completed,20526.048076923078
MIS004499,2026-08-14,B001,Central,Disaster Relief,Medium,Snow,48,22,2440553.28,Completed,110934.23999999999
MIS004500,2025-04-02,B010,North,Training Exercise,Low,Rain,23,126,872828.16,Completed,6927.207619047619
MIS004501,2025-05-03,B020,East,Supply Delivery,Medium,Storm,13,36,1572695.49,Completed,43685.98583333333
MIS004502,2025-09-08,B003,East,Border Patrol,High,Rain,9,352,2270644.42,Completed,6450.694375
MIS004503,2025-07-03,B023,North,Equipment Transport,Low,Snow,30,350,4280744.61,Completed,12230.698885714286
MIS004504,2026-10-04,B001,Central,Supply Delivery,Medium,Snow,65,57,3233566.87,Completed,56729.24333333333
MIS004505,2026-08-10,B014,Central,Training Exercise,Medium,Snow,72,303,1062698.7,Delayed,3507.256435643564
MIS004506,2026-08-10,B026,South,Reconnaissance,Medium,Clear,41,230,4079171.96,Completed,17735.530260869564
MIS004507,2026-09-19,B001,Central,Equipment Transport,Medium,Rain,23,355,3219749.5,Completed,9069.71690140845
MIS004508,2025-02-21,B014,Central,Border Patrol,Medium,Fog,7,399,2934627.87,Completed,7354.957067669173
MIS004509,2025-10-07,B020,East,Equipment Transport,Low,Rain,44,57,2409213.77,Completed,42266.90824561404
MIS004510,2026-03-28,B014,Central,Reconnaissance,Medium,Fog,55,91,2837462.47,Delayed,31180.906263736266
MIS004511,2025-09-22,B003,East,Disaster Relief,Low,Clear,21,309,2717781.15,Completed,8795.408252427183
MIS004512,2025-02-21,B028,West,Disaster Relief,High,Snow,64,123,1002219.3,Cancelled,8148.124390243903
MIS004513,2026-03-17,B004,East,Medical Support,High,Fog,52,88,2847096.48,Completed,32353.36909090909
MIS004514,2026-12-12,B015,South,Surveillance,Critical,Fog,51,160,1148930.23,Completed,7180.8139375
MIS004515,2025-05-09,B025,West,Supply Delivery,High,Clear,54,276,4304185.09,Completed,15594.873514492752
MIS004516,2025-10-07,B027,West,Supply Delivery,Medium,Snow,60,354,4392289.46,Completed,12407.597344632768
MIS004517,2026-10-09,B019,Central,Training Exercise,High,Rain,35,187,4505732.33,Completed,24094.825294117647
MIS004518,2025-10-12,B019,Central,Training Exercise,High,Fog,54,174,2411070.56,Completed,13856.727356321839
MIS004519,2026-03-17,B020,East,Supply Delivery,Medium,Storm,10,211,2425078.01,Completed,11493.260710900473
MIS004520,2025-05-01,B001,Central,Border Patrol,High,Rain,63,163,373915.07,Completed,2293.957484662577
MIS004521,2026-07-29,B012,South,Supply Delivery,Medium,Rain,70,93,2214756.84,Completed,23814.589677419353
MIS004522,2026-01-07,B016,West,Supply Delivery,Low,Snow,31,103,4933926.89,Completed,47902.20281553398
MIS004523,2025-02-26,B013,South,Training Exercise,Critical,Rain,27,22,3422943.6,Completed,155588.34545454546
MIS004524,2025-12-01,B013,South,Medical Support,High,Fog,7,248,2451039.64,Completed,9883.22435483871
MIS004525,2025-09-11,B010,North,Reconnaissance,Medium,Rain,9,172,2837611.25,Delayed,16497.739825581397
MIS004526,2026-03-07,B026,South,Reconnaissance,Medium,Rain,54,361,327457.13,Completed,907.0834626038782
MIS004527,2025-09-30,B014,Central,Medical Support,Medium,Storm,27,43,3820099.96,Completed,88839.53395348837
MIS004528,2026-04-21,B009,South,Medical Support,Critical,Snow,20,226,751495.23,Completed,3325.2001327433627
MIS004529,2026-03-19,B017,East,Supply Delivery,High,Clear,63,321,1962273.67,Completed,6113.002087227414
MIS004530,2025-04-27,B030,East,Reconnaissance,High,Fog,11,191,3311365.8,Completed,17336.993717277484
MIS004531,2025-05-20,B027,West,Medical Support,Low,Rain,33,341,2700435.22,Completed,7919.164868035191
MIS004532,2025-02-16,B030,East,Border Patrol,Medium,Clear,58,393,4860690.09,Completed,12368.168167938931
MIS004533,2025-04-25,B014,Central,Medical Support,Critical,Storm,54,105,4138803.82,Delayed,39417.17923809524
MIS004534,2025-08-01,B023,North,Supply Delivery,High,Storm,29,91,572854.77,Completed,6295.107362637363
MIS004535,2025-11-13,B025,West,Medical Support,Critical,Clear,9,236,887296.65,Completed,3759.7315677966103
MIS004536,2026-06-30,B008,East,Surveillance,High,Clear,35,51,4730635.07,Completed,92757.55039215687
MIS004537,2026-08-18,B029,South,Training Exercise,Medium,Rain,70,248,2529137.46,Completed,10198.13491935484
MIS004538,2025-03-19,B020,East,Border Patrol,Critical,Snow,61,263,4016462.91,Completed,15271.722091254753
MIS004539,2025-04-22,B021,South,Training Exercise,Low,Fog,56,118,2427582.46,Completed,20572.732711864406
MIS004540,2025-05-21,B020,East,Equipment Transport,Medium,Fog,4,369,2592272.77,Completed,7025.12945799458
MIS004541,2026-02-27,B012,South,Reconnaissance,Medium,Snow,63,284,2469323.17,Completed,8694.799894366197
MIS004542,2025-12-14,B018,East,Supply Delivery,Low,Fog,32,170,2706293.04,Completed,15919.370823529413
MIS004543,2025-09-20,B001,Central,Supply Delivery,Low,Clear,59,181,1367334.95,Completed,7554.3367403314915
MIS004544,2026-02-04,B021,South,Border Patrol,Medium,Fog,53,235,2326055.57,Completed,9898.108808510638
MIS004545,2025-03-18,B015,South,Equipment Transport,High,Clear,64,383,743880.6,Completed,1942.2469973890338
MIS004546,2026-08-28,B005,East,Equipment Transport,Low,Clear,5,340,2504765.27,Cancelled,7366.956676470589
MIS004547,2026-03-05,B001,Central,Training Exercise,Critical,Snow,24,39,2976312.2,Completed,76315.69743589744
MIS004548,2026-11-13,B008,East,Equipment Transport,Critical,Snow,61,360,347406.94,Delayed,965.0192777777778
MIS004549,2025-08-13,B023,North,Supply Delivery,High,Snow,28,60,4611063.49,Completed,76851.05816666667
MIS004550,2025-03-21,B022,Central,Disaster Relief,High,Fog,13,235,688436.8,Completed,2929.5182978723406
MIS004551,2025-06-13,B011,Central,Surveillance,High,Snow,15,341,4550718.69,Completed,13345.216099706746
MIS004552,2025-10-15,B028,West,Supply Delivery,Medium,Fog,22,35,3862388.66,Completed,110353.96171428572
